12345, 2024-06-06, 1902, 765842, Tires, 107.95, 16, 1727.20, 1727.20, 259.08, 1986.28
12346, 2024-06-07, 1902, 205474, Engine Oil, 32.95, 4, 131.8, 131.80, 19.77, 151.57
12346, 2024-06-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
12347, 2024-07-01, 1909, 324893, Windshelid, 209.99, 1, 209.99, 209.99, 31.50, 241.48
12348, 2024-08-07, 1902, 205474, Engine Oil, 32.95, 4, 131.80, 131.60, 26.94, 206.54
12348, 2024-08-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
12349, 2024-12-06, 1909, 765842, Tires, 107.95, 16, 1727.20, 1727.20, 259.08, 1986.28
12350, 2024-12-07, 1902, 205474, Engine Oil, 32.95, 4, 131.80, 131.80, 26.94, 206.54
12350, 2024-12-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
12351, 2025-06-06, 1902, 765842, Tires, 107.95, 16, 1727.20, 1727.20, 259.08, 1986.28
12352, 2025-06-07, 1902, 205474, Engine Oil, 32.95, 4, 131.80, 131.80, 26.94, 206.54
12352, 2025-06-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
12353, 2025-07-01, 1909, 324893, Windshelid, 209.99, 1, 209.99, 209.99, 31.50, 241.48
12354, 2025-08-07, 1902, 205474, Engine Oil, 32.95, 4, 131.80, 131.80, 26.94, 206.54
12354, 2025-08-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
12355, 2025-12-06, 1909, 765842, Tires, 107.95, 16, 1727.20, 1727.20, 259.08, 1986.28
12356, 2025-10-07, 1902, 205474, Engine Oil, 32.95, 4, 131.80, 131.80, 26.94, 206.54
12356, 2025-10-07, 1902, 347895, Oil Filter, 11.95, 4, 47.80, 47.80, 7.17, 54.97
